pub_agency_name,agency_type_name,pub_agency_unit,officer_ct
University of Texas:,University or College,Austin,92
Alamo Colleges District,University or College,NA,82
Texas A&M University:,University or College,College Station,72
Texas Tech University:,University or College,Lubbock,64
University of Houston:,University or College,Central Campus,61
University of Texas:,University or College,Rio Grande Valley,44
University of North Texas:,University or College,Denton,44
University of Texas:,University or College,Southwestern Medical School,43
Baylor University:,University or College,Waco,38
Texas State University:,University or College,San Marcos,34
Houston,City,NA,5229
Dallas,City,NA,3007
San Antonio,City,NA,2352
Austin,City,NA,1851
Fort Worth,City,NA,1694
Tarrant,County,NA,1245
El Paso,City,NA,1103
Arlington,City,NA,673
Montgomery,County,NA,499
Corpus Christi,City,NA,443
Lubbock,City,NA,432
Dallas,County,NA,422
Plano,City,NA,408
Denton,County,NA,407
Collin,County,NA,399
Irving,City,NA,354
Travis,County,NA,348
Garland,City,NA,344
McAllen,City,NA,285
Hidalgo,County,NA,279
Grand Prairie,City,NA,260
Killeen,City,NA,251
Waco,City,NA,249
Mesquite,City,NA,228
Williamson,County,NA,223
McKinney,City,NA,212
Abilene,City,NA,202
Brownsville,City,NA,197
Wichita Falls,City,NA,190
Frisco,City,NA,186
Denton,City,NA,174
Round Rock,City,NA,169
Longview,City,NA,168
Hays,County,NA,166
Sugar Land,City,NA,165
Smith,County,NA,165
Carrollton,City,NA,165
Pearland,City,NA,163
Odessa,City,NA,160
Richardson,City,NA,159
Bryan,City,NA,147
Lewisville,City,NA,144
College Station,City,NA,143
Galveston,City,NA,142
Temple,City,NA,140
Comal,County,NA,136
Allen,City,NA,134
Harlingen,City,NA,134
Pharr,City,NA,125
Conroe,City,NA,123
Port Arthur,City,NA,121
Cameron,County,NA,120
North Richland Hills,City,NA,112
Victoria,County,NA,107
Gregg,County,NA,104
San Marcos,City,NA,102
Brazos,County,NA,102
McLennan,County,NA,100
Mansfield,City,NA,99
Potter,County,NA,98
Guadalupe,County,NA,97
Randall,County,NA,96
Grapevine,City,NA,96
Parker,County,NA,94
Missouri City,City,NA,94
Johnson,County,NA,94
Flower Mound,City,NA,94
Kaufman,County,NA,93
Cedar Park,City,NA,91
Rosenberg,City,NA,87
Texarkana,City,NA,87
Texas City,City,NA,84
Georgetown,City,NA,84
Cooke,County,NA,84
Taylor,County,NA,82
Rowlett,City,NA,81
Ellis,County,NA,80
Bedford,City,NA,79
Tom Green,County,NA,78
Bastrop,County,NA,76
La Porte,City,NA,75
Lufkin,City,NA,75
Hurst,City,NA,75
Haltom City,City,NA,69
Henderson,County,NA,68
Grayson,County,NA,67
Sherman,City,NA,66
Cedar Hill,City,NA,66
DeSoto,City,NA,65
Nacogdoches,City,NA,65
Coppell,City,NA,63
Addison,City,NA,62
Burleson,City,NA,62
Wylie,City,NA,62
Highland Park,City,NA,61
Hale,County,NA,60
Leander,City,NA,60
Wise,County,NA,60
Wichita,County,NA,60
Lancaster,City,NA,60
Deer Park,City,NA,59
Stafford,City,NA,58
Katy,City,NA,58
Grimes,County,NA,57
Harrison,County,NA,56
Friendswood,City,NA,56
Schertz,City,NA,56
Seguin,City,NA,54
Midlothian,City,NA,53
Kerr,County,NA,51
Starr,County,NA,51
Kendall,County,NA,49
Greenville,City,NA,49
Kerrville,City,NA,49
Burnet,County,NA,49
Cleburne,City,NA,49
Copperas Cove,City,NA,48
Marshall,City,NA,48
Keller,City,NA,48
Converse,City,NA,47
Val Verde,County,NA,47
Webster,City,NA,46
Harker Heights,City,NA,45
Hunt,County,NA,45
Kyle,City,NA,45
Hutto,City,NA,45
Bellaire,City,NA,44
Rusk,County,NA,43
Terrell,City,NA,42
Orange,City,NA,42
Wharton,County,NA,41
Boerne,City,NA,41
Gainesville,City,NA,40
Medina,County,NA,40
Nacogdoches,County,NA,40
Leon Valley,City,NA,40
University Park,City,NA,39
Angleton,City,NA,39
Brownwood,City,NA,38
Walker,County,NA,38
Matagorda,County,NA,38
Coryell,County,NA,38
Wilson,County,NA,38
Cibolo,City,NA,38
Stephenville,City,NA,37
Saginaw,City,NA,37
Van Zandt,County,NA,37
Benbrook,City,NA,37
Bowie,County,NA,37
Colleyville,City,NA,36
Belton,City,NA,36
Woodway,City,NA,36
Caldwell,County,NA,34
Hardin,County,NA,34
Donna,City,NA,34
Corinth,City,NA,34
Kilgore,City,NA,34
Palestine,City,NA,33
Brooks,County,NA,33
Richmond,City,NA,33
Bandera,County,NA,33
Live Oak,City,NA,33
La Marque,City,NA,33
Alice,City,NA,33
Watauga,City,NA,33
Universal City,City,NA,32
Dimmit,County,NA,32
Lakeway,City,NA,32
Sachse,City,NA,32
Vidor,City,NA,31
Freeport,City,NA,31
Roma,City,NA,31
Borger,City,NA,31
Highland Village,City,NA,30
Brown,County,NA,30
Cherokee,County,NA,30
Fredericksburg,City,NA,30
Gillespie,County,NA,30
Roanoke,City,NA,29
Selma,City,NA,29
Forney,City,NA,29
Karnes,County,NA,29
Mount Pleasant,City,NA,29
Taylor,City,NA,29
Dickinson,City,NA,29
South Houston,City,NA,29
Sulphur Springs,City,NA,28
Jacksonville,City,NA,28
Freestone,County,NA,28
Hillsboro,City,NA,27
Uvalde,County,NA,27
El Campo,City,NA,27
Fayette,County,NA,27
Hereford,City,NA,27
Red Oak,City,NA,27
Crowley,City,NA,27
Jersey Village,City,NA,26
Seabrook,City,NA,26
Aransas Pass,City,NA,26
Prosper,City,NA,26
Rockport,City,NA,26
Azle,City,NA,26
Rio Grande City,City,NA,26
Robstown,City,NA,26
Lockhart,City,NA,26
Lake Worth,City,NA,26
Young,County,NA,26
Titus,County,NA,26
Hewitt,City,NA,26
Athens,City,NA,25
Manor,City,NA,25
Llano,County,NA,25
Windcrest,City,NA,25
Clute,City,NA,25
Sweetwater,City,NA,24
Somervell,County,NA,24
Hopkins,County,NA,24
Palo Pinto,County,NA,24
Marble Falls,City,NA,24
Erath,County,NA,24
Kleberg,County,NA,24
Fort Stockton,City,NA,23
Levelland,City,NA,23
Aransas,County,NA,23
Spring Valley,City,NA,23
Celina,City,NA,23
Jasper,City,NA,23
Dayton,City,NA,22
Robinson,City,NA,22
Graham,City,NA,22
Castle Hills,City,NA,22
Limestone,County,NA,22
Fair Oaks Ranch,City,NA,22
Pleasanton,City,NA,22
Bastrop,City,NA,22
Murphy,City,NA,21
Jacinto City,City,NA,21
Lampasas,City,NA,21
Alamo Heights,City,NA,21
Cass,County,NA,21
Royse City,City,NA,21
Helotes,City,NA,21
Fannin,County,NA,21
Port Aransas,City,NA,20
Gonzales,County,NA,20
Burleson,County,NA,20
Ingleside,City,NA,20
Sealy,City,NA,20
Houston,County,NA,20
Port Neches,City,NA,20
Hutchins,City,NA,20
DeWitt,County,NA,20
Dumas,City,NA,20
Elgin,City,NA,20
Alvarado,City,NA,19
Port Lavaca,City,NA,19
Bee,County,NA,19
Lacy-Lakeview,City,NA,19
Shavano Park,City,NA,19
Buda,City,NA,19
Balcones Heights,City,NA,19
Burkburnett,City,NA,19
Bosque,County,NA,19
Navasota,City,NA,18
Galena Park,City,NA,18
Horseshoe Bay,City,NA,18
Manvel,City,NA,18
Brookshire,City,NA,18
River Oaks,City,NA,18
Lago Vista,City,NA,18
Crandall,City,NA,18
Princeton,City,NA,18
Willis,City,NA,17
Lampasas,County,NA,17
Fulshear,City,NA,17
Lindale,City,NA,17
Beeville,City,NA,17
Bridge City,City,NA,16
Gaines,County,NA,16
Commerce,City,NA,16
Gatesville,City,NA,16
Fate,City,NA,16
Bulverde,City,NA,16
Trophy Club,City,NA,16
Refugio,County,NA,16
Gonzales,City,NA,16
Shelby,County,NA,15
Cuero,City,NA,15
Pearsall,City,NA,15
Kirby,City,NA,15
Diboll,City,NA,15
Gladewater,City,NA,15
Hollywood Park,City,NA,15
Hitchcock,City,NA,15
Lake Dallas,City,NA,15
Meadows Place,City,NA,15
Robertson,County,NA,14
New Boston,City,NA,14
Bridgeport,City,NA,14
Blanco,County,NA,14
Crockett,City,NA,14
Lee,County,NA,14
Clay,County,NA,14
Everman,City,NA,14
Giddings,City,NA,14
Penitas,City,NA,13
La Feria,City,NA,13
Sunset Valley,City,NA,13
Gilmer,City,NA,13
Perryton,City,NA,13
Andrews,County,NA,13
Littlefield,City,NA,13
Corrigan,City,NA,13
Garden Ridge,City,NA,13
Nolan,County,NA,13
Madison,County,NA,13
Kermit,City,NA,13
Deaf Smith,County,NA,13
Melissa,City,NA,13
Willacy,County,NA,13
Jackson,County,NA,12
Nassau Bay,City,NA,12
Westworth,City,NA,12
Rains,County,NA,12
Jack,County,NA,12
Olmos Park,City,NA,12
Ferris,City,NA,12
Waller,City,NA,12
Red River,County,NA,12
Breckenridge,City,NA,12
Yoakum,City,NA,12
Westover Hills,City,NA,12
"Lakeview, Harrison County",City,NA,12
Venus,City,NA,12
West Lake Hills,City,NA,12
Hockley,County,NA,12
Bellville,City,NA,11
Wolfforth,City,NA,11
West Columbia,City,NA,11
Three Rivers,City,NA,11
Northeast,City,NA,11
Kenedy,County,NA,11
Cisco,City,NA,11
Trinity,County,NA,11
McGregor,City,NA,11
Sinton,City,NA,11
Hill Country Village,City,NA,11
Pittsburg,City,NA,11
Franklin,County,NA,11
Eastland,County,NA,11
Parker,City,NA,10
Lamb,County,NA,10
Sullivan City,City,NA,10
Dalworthington Gardens,City,NA,10
La Grange,City,NA,10
Poteet,City,NA,10
Castroville,City,NA,10
Wills Point,City,NA,10
Splendora,City,NA,10
Liberty Hill,City,NA,10
Terry,County,NA,10
McMullen,County,NA,10
Comanche,City,NA,10
Eastland,City,NA,10
Comanche,County,NA,10
Blanco,City,NA,9
Dublin,City,NA,9
Jourdanton,City,NA,9
Van,City,NA,9
Farmersville,City,NA,9
Crane,City,NA,9
Nolanville,City,NA,9
Yoakum,County,NA,9
Sabine,County,NA,9
Edna,City,NA,9
Morgans Point Resort,City,NA,9
Lavon,City,NA,9
Rockdale,City,NA,9
Dawson,County,NA,9
Groesbeck,City,NA,9
Oyster Creek,City,NA,9
Tulia,City,NA,9
Rancho Viejo,City,NA,8
Cactus,City,NA,8
Llano,City,NA,8
Montgomery,City,NA,8
Flatonia,City,NA,8
Hamilton,City,NA,8
Chandler,City,NA,8
Refugio,City,NA,8
Double Oak,City,NA,8
Colorado City,City,NA,8
West,City,NA,8
Granite Shoals,City,NA,8
Laguna Vista,City,NA,8
Grand Saline,City,NA,8
Jonestown,City,NA,8
Montague,County,NA,8
Van Alstyne,City,NA,8
Nash,City,NA,8
Caldwell,City,NA,8
Sweeny,City,NA,8
Wake Village,City,NA,8
Pottsboro,City,NA,8
Weimar,City,NA,7
Onalaska,City,NA,7
Schulenburg,City,NA,7
San Augustine,City,NA,7
Lorena,City,NA,7
Oldham,County,NA,7
George West,City,NA,7
Scurry,County,NA,7
Wilbarger,County,NA,7
Electra,City,NA,7
Clifton,City,NA,7
Camp,County,NA,7
Carson,County,NA,7
Shackelford,County,NA,7
Pinehurst,City,NA,6
Ingram,City,NA,6
Donley,County,NA,6
Crosby,County,NA,6
Teague,City,NA,6
Frankston,City,NA,6
Runnels,County,NA,6
Itasca,City,NA,6
Floydada,City,NA,6
Sour Lake,City,NA,6
Tatum,City,NA,6
Castro,County,NA,6
Nixon,City,NA,6
Callahan,County,NA,6
Fairfield,City,NA,6
Hartley,County,NA,6
Bailey,County,NA,6
San Diego,City,NA,6
Lipscomb,County,NA,6
Stamford,City,NA,6
Crane,County,NA,6
Lyford,City,NA,5
Haskell,City,NA,5
Collingsworth,County,NA,5
Ponder,City,NA,5
Daingerfield,City,NA,5
"Reno, Lamar County",City,NA,5
Waelder,City,NA,5
Stephens,County,NA,5
Abernathy,City,NA,5
Taft,City,NA,5
Lakeside,City,NA,5
Shallowater,City,NA,5
Real,County,NA,5
Sterling,County,NA,5
Kinney,County,NA,5
Somerville,City,NA,5
Queen City,City,NA,5
Salado,City,NA,5
Seagraves,City,NA,5
Panhandle,City,NA,4
Naples,City,NA,4
Calvert,City,NA,4
Hughes Springs,City,NA,4
Tioga,City,NA,4
Arp,City,NA,4
Spearman,City,NA,4
Olney,City,NA,4
Hemphill,City,NA,4
Driscoll,City,NA,4
Somerset,City,NA,4
Bertram,City,NA,4
Tahoka,City,NA,4
Brownsboro,City,NA,4
Jeff Davis,County,NA,4
Sabinal,City,NA,4
Seymour,City,NA,4
Knox,County,NA,3
Thorndale,City,NA,3
De Leon,City,NA,3
Riesel,City,NA,3
Collinsville,City,NA,3
Kent,County,NA,3
Jarrell,City,NA,3
Milford,City,NA,3
Dickens,County,NA,3
Briscoe,County,NA,3
Gorman,City,NA,2
Florence,City,NA,2
Cuney,City,NA,2
Josephine,City,NA,2
Ralls,City,NA,2
Archer City,City,NA,2
Borden,County,NA,2
Knox City,City,NA,2
King,County,NA,1
Fulton,City,NA,1
Miles,City,NA,1
Thrall,City,NA,1
Paducah,City,NA,1
Crowell,City,NA,1
Polk,County,NA,0
Portland,City,NA,0
Clyde,City,NA,NA
Coleman,County,NA,NA
Brady,City,NA,NA
Livingston,City,NA,NA
Pecos,City,NA,NA
Schleicher,County,NA,NA
San Angelo,City,NA,NA
Hooks,City,NA,NA
Iowa Colony,City,NA,NA
Rising Star,City,NA,NA
Malakoff,City,NA,NA
Sudan,City,NA,NA
Jewett,City,NA,NA
Upshur,County,NA,NA
Cottonwood Shores,City,NA,NA
Honey Grove,City,NA,NA
Kemah,City,NA,NA
Hill,County,NA,NA
Cameron,City,NA,NA
San Felipe,City,NA,NA
Van Horn,City,NA,NA
Clarendon,City,NA,NA
Hidalgo,City,NA,NA
Anton,City,NA,NA
Paris,City,NA,NA
Corsicana,City,NA,NA
Rockwall,City,NA,NA
Forest Hill,City,NA,NA
Kennedale,City,NA,NA
Prairie View,City,NA,NA
Winnsboro,City,NA,NA
Maud,City,NA,NA
Italy,City,NA,NA
Horizon City,City,NA,NA
El Lago,City,NA,NA
Jim Hogg,County,NA,NA
Palacios,City,NA,NA
Moore,County,NA,NA
Timpson,City,NA,NA
Sonora,City,NA,NA
Baylor,County,NA,NA
Santa Anna,City,NA,NA
Ranger,City,NA,NA
Rosebud,City,NA,NA
Rotan,City,NA,NA
Garza,County,NA,NA
Plainview,City,NA,NA
Tomball,City,NA,NA
Granbury,City,NA,NA
Willow Park,City,NA,NA
Bogata,City,NA,NA
Santa Rosa,City,NA,NA
Northlake,City,NA,NA
Waxahachie,City,NA,NA
Fort Bend,County,NA,NA
Denison,City,NA,NA
Hansford,County,NA,NA
Lamar,County,NA,NA
Weatherford,City,NA,NA
Reeves,County,NA,NA
Quitman,City,NA,NA
Walnut Springs Police Department,City,NA,NA
Hardeman,County,NA,NA
Northcrest,City,NA,NA
Pineland,City,NA,NA
Zapata,County,NA,NA
Terrell Hills,City,NA,NA
Argyle,City,NA,NA
Yorktown,City,NA,NA
Post,City,NA,NA
Chillicothe,City,NA,NA
Cumby,City,NA,NA
San Patricio,County,NA,NA
Albany,City,NA,NA
Happy,City,NA,NA
Richwood,City,NA,NA
Goliad,City,NA,NA
Caddo Mills,City,NA,NA
Encinal,City,NA,NA
Winters,City,NA,NA
Stonewall,County,NA,NA
Brazoria,City,NA,NA
Estelline,City,NA,NA
Edinburg,City,NA,NA
Progreso,City,NA,NA
Hawk Cove,City,NA,NA
Anson,City,NA,NA
Cleveland,City,NA,NA
Stratford,City,NA,NA
Brenham,City,NA,NA
Alto,City,NA,NA
Anna,City,NA,NA
Crockett,County,NA,NA
San Elizario,City,NA,NA
Lott,City,NA,NA
Bonham,City,NA,NA
Mitchell,County,NA,NA
Roman Forest,City,NA,NA
Patton Village,City,NA,NA
Sherman,County,NA,NA
Euless,City,NA,NA
Marshall Creek,City,NA,NA
Silsbee,City,NA,NA
Seven Points,City,NA,NA
Milam,County,NA,NA
Orange,County,NA,NA
Roberts,County,NA,NA
Overton,City,NA,NA
Atlanta,City,NA,NA
Carrizo Springs,City,NA,NA
Santa Fe,City,NA,NA
Mart,City,NA,NA
Roscoe,City,NA,NA
Panola,County,NA,NA
Zavalla,City,NA,NA
Meridian,City,NA,NA
Chambers,County,NA,NA
Edwards,County,NA,NA
Mercedes,City,NA,NA
Beaumont,City,NA,NA
Junction,City,NA,NA
Bellmead,City,NA,NA
Madisonville,City,NA,NA
Newton,County,NA,NA
Crystal City,City,NA,NA
Atascosa,County,NA,NA
Holland,City,NA,NA
Brazoria,County,NA,NA
Wellington,City,NA,NA
New Braunfels,City,NA,NA
Hale Center,City,NA,NA
Coffee City,City,NA,NA
Log Cabin,City,NA,NA
Bowie,City,NA,NA
Emory,City,NA,NA
Big Lake,City,NA,NA
Ballinger,City,NA,NA
Troup,City,NA,NA
Whitehouse,City,NA,NA
Sutton,County,NA,NA
Point Comfort,City,NA,NA
Cockrell Hill,City,NA,NA
Cooper,City,NA,NA
West University Place,City,NA,NA
Idalou,City,NA,NA
Stanton,City,NA,NA
Oak Ridge North,City,NA,NA
Presidio,City,NA,NA
Vernon,City,NA,NA
Andrews,City,NA,NA
Southside Place,City,NA,NA
Sunrise Beach Village,City,NA,NA
Hondo,City,NA,NA
Rio Bravo,City,NA,NA
Valley Mills,City,NA,NA
Brookside Village,City,NA,NA
Los Fresnos,City,NA,NA
Hamilton,County,NA,NA
Ropesville,City,NA,NA
Quinlan,City,NA,NA
Premont,City,NA,NA
Earth,City,NA,NA
Olton,City,NA,NA
Mason,County,NA,NA
Luling,City,NA,NA
Galveston,County,NA,NA
Gray,County,NA,NA
Lumberton,City,NA,NA
Weslaco,City,NA,NA
Alton,City,NA,NA
Jacksboro,City,NA,NA
Karnes City,City,NA,NA
Sansom Park Village,City,NA,NA
Mustang Ridge,City,NA,NA
Canton,City,NA,NA
Ames,City,NA,NA
Uvalde,City,NA,NA
Webb,County,NA,NA
Port Mansfield,City,NA,NA
Little River-Academy Police Department,City,NA,NA
Marion,City,NA,NA
Elsa,City,NA,NA
Kempner,City,NA,NA
Rockwall,County,NA,NA
White Settlement,City,NA,NA
Poth,City,NA,NA
La Vernia,City,NA,NA
Lytle,City,NA,NA
Columbus,City,NA,NA
Wortham,City,NA,NA
Rogers,City,NA,NA
Lockney,City,NA,NA
Whitewright,City,NA,NA
Howe,City,NA,NA
Leon,County,NA,NA
Sunray,City,NA,NA
Dalhart,City,NA,NA
Jasper,County,NA,NA
Kimble,County,NA,NA
Garrison,City,NA,NA
Tyler,City,NA,NA
Woodville,City,NA,NA
Boyd,City,NA,NA
Archer,County,NA,NA
Glasscock,County,NA,NA
Groves,City,NA,NA
West Orange,City,NA,NA
Richland Hills,City,NA,NA
Merkel,City,NA,NA
Wink,City,NA,NA
Whitesboro,City,NA,NA
Lone Oak,City,NA,NA
San Augustine,County,NA,NA
Kress,City,NA,NA
Floresville,City,NA,NA
Wood,County,NA,NA
Wallis,City,NA,NA
Troy,City,NA,NA
Primera,City,NA,NA
Balch Springs,City,NA,NA
Clarksville,City,NA,NA
Bremond,City,NA,NA
Center,City,NA,NA
Tye,City,NA,NA
Delta,County,NA,NA
Benavides,City,NA,NA
Ennis,City,NA,NA
Goliad,County,NA,NA
Tom Bean,City,NA,NA
Howard,County,NA,NA
Laredo,City,NA,NA
Baird,City,NA,NA
Concho,County,NA,NA
Lamesa,City,NA,NA
Hickory Creek,City,NA,NA
Pampa,City,NA,NA
Kirbyville,City,NA,NA
Maverick,County,NA,NA
Ore City,City,NA,NA
Wheeler,County,NA,NA
Anderson,County,NA,NA
Alvin,City,NA,NA
Bartonville,City,NA,NA
Marlin,City,NA,NA
Fisher,County,NA,NA
Needville,City,NA,NA
Navarro,County,NA,NA
Throckmorton,County,NA,NA
Trinity,City,NA,NA
Hawkins,City,NA,NA
Falls,County,NA,NA
League City,City,NA,NA
Lakeport,City,NA,NA
Lacoste,City,NA,NA
Woodbranch,City,NA,NA
Holliday,City,NA,NA
Anthony,City,NA,NA
Leonard,City,NA,NA
Carmine,City,NA,NA
Baytown,City,NA,NA
Gun Barrel City,City,NA,NA
Ganado,City,NA,NA
Pear Ridge,City,NA,NA
Mathis,City,NA,NA
Port Isabel,City,NA,NA
Indian Lake,City,NA,NA
Jamaica Beach,City,NA,NA
Hall,County,NA,NA
Rule,City,NA,NA
Whitney,City,NA,NA
Cotulla,City,NA,NA
Ransom Canyon,City,NA,NA
Menard,County,NA,NA
"Reno, Parker County",City,NA,NA
Reagan,County,NA,NA
Calhoun,County,NA,NA
Wells,City,NA,NA
Henrietta,City,NA,NA
Coke,County,NA,NA
San Juan,City,NA,NA
Natalia,City,NA,NA
Marfa,City,NA,NA
Mineola,City,NA,NA
Colorado,County,NA,NA
Dallam,County,NA,NA
Spur,City,NA,NA
Mission,City,NA,NA
Irion,County,NA,NA
Hawley,City,NA,NA
Cottle,County,NA,NA
Shoreacres,City,NA,NA
Tolar,City,NA,NA
Kingsville,City,NA,NA
Bay City,City,NA,NA
Stagecoach,City,NA,NA
Lone Star,City,NA,NA
Danbury,City,NA,NA
Childress,County,NA,NA
Freer,City,NA,NA
Ector,County,NA,NA
Humble,City,NA,NA
Munday,City,NA,NA
O'Donnell,City,NA,NA
Friona,City,NA,NA
Palmer,City,NA,NA
Memphis,City,NA,NA
Devine,City,NA,NA
Heath,City,NA,NA
South Padre Island,City,NA,NA
Childress,City,NA,NA
Kleburg,City,NA,NA
Kountze,City,NA,NA
Palmview,City,NA,NA
Palmhurst,City,NA,NA
Wolfe City,City,NA,NA
Normangee,City,NA,NA
San Saba,County,NA,NA
Victoria,City,NA,NA
Celeste,City,NA,NA
Live Oak,County,NA,NA
Morris,County,NA,NA
Bovina,City,NA,NA
Bexar,County,NA,NA
Falfurrias,City,NA,NA
Seadrift,City,NA,NA
Combes,City,NA,NA
Palm Valley,City,NA,NA
Fort Gates,City,NA,NA
Duncanville,City,NA,NA
El Paso,County,NA,NA
Southmayd,City,NA,NA
Alamo,City,NA,NA
San Saba,City,NA,NA
Snyder,City,NA,NA
La Grulla,City,NA,NA
San Angelo Park,City,NA,NA
Bee Cave,City,NA,NA
Armstrong,County,NA,NA
Bartlett,City,NA,NA
Petersburg,City,NA,NA
Pasadena,City,NA,NA
Grapeland,City,NA,NA
Hudspeth,County,NA,NA
Jefferson,County,NA,NA
Moulton,City,NA,NA
Lexington,City,NA,NA
Marion,County,NA,NA
Mills,County,NA,NA
Rose City,City,NA,NA
Hudson Oaks,City,NA,NA
Parmer,County,NA,NA
Canyon,City,NA,NA
Lake City,City,NA,NA
Westworth,City,NA,NA
Del Rio,City,NA,NA
Hempstead,City,NA,NA
Alpine,City,NA,NA
Cochran,County,NA,NA
Lorenzo,City,NA,NA
Socorro,City,NA,NA
Frio,County,NA,NA
Crystal Beach,City,NA,NA
Quanah,City,NA,NA
Harris,County,NA,NA
Edcouch,City,NA,NA
Ochiltree,County,NA,NA
Carthage,City,NA,NA
Hearne,City,NA,NA
East Mountain,City,NA,NA
Shamrock,City,NA,NA
Alba,City,NA,NA
Wilmer,City,NA,NA
Gruver,City,NA,NA
Big Sandy,City,NA,NA
Edgewood,City,NA,NA
Decatur,City,NA,NA
Los Indios,City,NA,NA
Seagoville,City,NA,NA
Bayou Vista,City,NA,NA
Dawson,City,NA,NA
Kerens,City,NA,NA
Bishop,City,NA,NA
Southlake,City,NA,NA
Monahans,City,NA,NA
Runaway Bay,City,NA,NA
Bloomburg,City,NA,NA
Eagle Lake,City,NA,NA
Pilot Point,City,NA,NA
Kemp,City,NA,NA
Mexia,City,NA,NA
Rollingwood,City,NA,NA
Upton,County,NA,NA
Iowa Park,City,NA,NA
Zavala,County,NA,NA
Smithville,City,NA,NA
Bell,County,NA,NA
San Benito,City,NA,NA
Hemphill,County,NA,NA
Hamlin,City,NA,NA
Slaton,City,NA,NA
Eagle Pass,City,NA,NA
Omaha,City,NA,NA
Motley,County,NA,NA
Springtown,City,NA,NA
Martindale,City,NA,NA
White Oak,City,NA,NA
Loving,County,NA,NA
Pflugerville,City,NA,NA
Mont Belvieu,City,NA,NA
Rusk,City,NA,NA
Memorial Villages,City,NA,NA
Jim Wells,County,NA,NA
New Deal,City,NA,NA
McCulloch,County,NA,NA
St. Jo,City,NA,NA
Blue Mound,City,NA,NA
Ward,County,NA,NA
Wharton,City,NA,NA
Hudson,City,NA,NA
De Kalb,City,NA,NA
Linden,City,NA,NA
Aubrey,City,NA,NA
Foard,County,NA,NA
Lavaca,County,NA,NA
Nocona,City,NA,NA
Magnolia,City,NA,NA
Shenandoah,City,NA,NA
San Jacinto,County,NA,NA
Hart,City,NA,NA
Farmers Branch,City,NA,NA
Sanger,City,NA,NA
Taylor Lake Village,City,NA,NA
La Salle,County,NA,NA
Constable,City,NA,NA
McCamey,City,NA,NA
Coleman,City,NA,NA
Valley View,City,NA,NA
Floyd,County,NA,NA
Gunter,City,NA,NA
La Villa,City,NA,NA
Hood,County,NA,NA
Jones,County,NA,NA
Kenedy,City,NA,NA
Liberty,County,NA,NA
Mineral Wells,City,NA,NA
Gregory,City,NA,NA
Bullard,City,NA,NA
Tyler,County,NA,NA
Early,City,NA,NA
Dimmitt,City,NA,NA
Oak Ridge,City,NA,NA
The Colony,City,NA,NA
Haskell,County,NA,NA
Covington,City,NA,NA
Sundown,City,NA,NA
Hutchinson,County,NA,NA
Stinnett,City,NA,NA
Nederland,City,NA,NA
Nueces,County,NA,NA
Surfside Beach,City,NA,NA
Crosbyton,City,NA,NA
Glenn Heights,City,NA,NA
Tenaha,City,NA,NA
Waller,County,NA,NA
Rio Hondo,City,NA,NA
Duval,County,NA,NA
Canadian,City,NA,NA
Tool,City,NA,NA
Hubbard,City,NA,NA
Joshua,City,NA,NA
Keene,City,NA,NA
Culberson,County,NA,NA
Seminole,City,NA,NA
Hico,City,NA,NA
La Joya,City,NA,NA
Brackettville,City,NA,NA
Bruceville-Eddy,City,NA,NA
Midland,County,NA,NA
Farwell,City,NA,NA
Raymondville,City,NA,NA
Denver City,City,NA,NA
Austin,County,NA,NA
Jones Creek,City,NA,NA
Little Elm,City,NA,NA
Dilley,City,NA,NA
Hallettsville,City,NA,NA
Jefferson,City,NA,NA
Martin,County,NA,NA
Henderson,City,NA,NA
Terrell,County,NA,NA
Granger,City,NA,NA
Winkler,County,NA,NA
Lake Jackson,City,NA,NA
Hedwig Village,City,NA,NA
Hallsville,City,NA,NA
Amarillo,City,NA,NA
Eden,City,NA,NA
Ovilla,City,NA,NA
Berryville,City,NA,NA
Lometa,City,NA,NA
Beverly Hills,City,NA,NA
Pantego,City,NA,NA
Angelina,County,NA,NA
Muleshoe,City,NA,NA
Johnson City,City,NA,NA
Bangs,City,NA,NA
Clint,City,NA,NA
Caney City,City,NA,NA
Lakeview,City,NA,NA
Godley,City,NA,NA
Lubbock,County,NA,NA
Elkhart,City,NA,NA
Elmendorf Police Department,City,NA,NA
Burnet,City,NA,NA
Fairview,City,NA,NA
Orange Grove,City,NA,NA
Shiner,City,NA,NA
Buffalo Springs Lake,City,NA,NA
Lynn,County,NA,NA
Midland,City,NA,NA
Pelican Bay,City,NA,NA
Washington,County,NA,NA
Morton,City,NA,NA
Arcola,City,NA,NA
Big Spring,City,NA,NA
West Tawakoni,City,NA,NA
Kaufman,City,NA,NA
Pecos,County,NA,NA
Brownfield,City,NA,NA
Huntsville,City,NA,NA
Huntington,City,NA,NA
Brewster,County,NA,NA
Trenton,City,NA,NA
Kendleton,City,NA,NA
Liberty,City,NA,NA
Newton,City,NA,NA
Presidio,County,NA,NA
Swisher,County,NA,NA
